unknown_voltage_0 -> 0
unknown_voltage_1 -> 1
unknown_voltage_2 -> 2
unknown_current_vin -> 3
0.848000 2.295532 1.147766
0.849000 2.281564 1.140782
0.850000 2.267572 1.133786
0.851000 2.253559 1.126779
0.852000 2.239523 1.119761
0.853000 2.225465 1.112732
0.854000 2.211385 1.105692
0.855000 2.197283 1.098641
0.856000 2.183159 1.091580
0.857000 2.169014 1.084507
0.858000 2.154848 1.077424
0.859000 2.140660 1.070330
0.860000 2.126451 1.063226
0.861000 2.112221 1.056111
0.862000 2.097970 1.048985
0.863000 2.083699 1.041849
0.864000 2.069407 1.034703
0.865000 2.055094 1.027547
0.866000 2.040761 1.020381
0.867000 2.026409 1.013204
0.868000 2.012036 1.006018
0.869000 1.997643 0.998821
0.870000 1.983230 0.991615
0.871000 1.968798 0.984399
0.872000 1.954347 0.977173
0.873000 1.939876 0.969938
0.874000 1.925386 0.962693
0.875000 1.910877 0.955438
0.876000 1.896349 0.948174
0.877000 1.881802 0.940901
0.878000 1.867237 0.933619
0.879000 1.852653 0.926327
0.880000 1.838052 0.919026
0.881000 1.823431 0.911716
0.882000 1.808793 0.904397
0.883000 1.794137 0.897069
0.884000 1.779464 0.889732
0.885000 1.764773 0.882386
0.886000 1.750064 0.875032
0.887000 1.735338 0.867669
0.888000 1.720595 0.860298
0.889000 1.705835 0.852917
0.890000 1.691058 0.845529
0.891000 1.676265 0.838132
0.892000 1.661454 0.830727
0.893000 1.646628 0.823314
0.894000 1.631785 0.815893
0.895000 1.616926 0.808463
0.896000 1.602051 0.801026
0.897000 1.587161 0.793580
0.898000 1.572254 0.786127
0.899000 1.557332 0.778666
0.900000 1.542395 0.771198
0.901000 1.527443 0.763721
0.902000 1.512475 0.756238
0.903000 1.497493 0.748746
0.904000 1.482495 0.741248
0.905000 1.467483 0.733742
0.906000 1.452457 0.726228
0.907000 1.437416 0.718708
0.908000 1.422361 0.711181
0.909000 1.407292 0.703646
0.910000 1.392209 0.696105
0.911000 1.377113 0.688556
0.912000 1.362003 0.681001
0.913000 1.346879 0.673439
0.914000 1.331742 0.665871
0.915000 1.316592 0.658296
0.916000 1.301429 0.650714
